Country,Year,Variable,Source,Value,Unit
BANGLADESH,1976,IMPORT VALUE,FAO,107188.00,1000 US$
BANGLADESH,1975,IMPORT VALUE,FAO,49350.00,1000 US$
BANGLADESH,1974,IMPORT VALUE,FAO,26494.00,1000 US$
BANGLADESH,1973,IMPORT VALUE,FAO,29706.00,1000 US$
BANGLADESH,1972,IMPORT VALUE,FAO,72000.00,1000 US$
BANGLADESH,1971,IMPORT VALUE,FAO,38500.00,1000 US$
BANGLADESH,1970,IMPORT VALUE,FAO,61000.00,1000 US$
BANGLADESH,1969,IMPORT VALUE,FAO,29986.00,1000 US$
BANGLADESH,1968,IMPORT VALUE,FAO,39000.00,1000 US$
BANGLADESH,1967,IMPORT VALUE,FAO,54000.00,1000 US$
BANGLADESH,1966,IMPORT VALUE,FAO,42000.00,1000 US$
BANGLADESH,1965,IMPORT VALUE,FAO,9497.00,1000 US$
BANGLADESH,1964,IMPORT VALUE,FAO,30587.00,1000 US$
BANGLADESH,1963,IMPORT VALUE,FAO,44391.00,1000 US$
BANGLADESH,1962,IMPORT VALUE,FAO,26508.00,1000 US$
BANGLADESH,1961,IMPORT VALUE,FAO,49950.00,1000 US$
